movie_name,year,runtime(min),genre,rating,metascore,votes,gross($)(M),rank
The Wolf of Wall Street,2013,180,"Biography, Comedy, Crime",8.2,75,1405590,116.90,133
No Country for Old Men,2007,122,"Crime, Drama, Thriller",8.2,92,972739,74.28,152
Babam ve Oglum,2005,112,"Drama, Family",8.2,,87293,,233
There Will Be Blood,2007,158,Drama,8.2,93,587605,40.22,139
Pan's Labyrinth,2006,118,"Drama, Fantasy, War",8.2,98,670174,37.63,137
V for Vendetta,2005,132,"Action, Drama, Sci-Fi",8.2,62,1122308,70.51,158
Batman Begins,2005,140,"Action, Crime, Drama",8.2,70,1468906,206.85,127
Der Untergang,2004,156,"Biography, Drama, History",8.2,82,356936,5.51,124
Hauru no ugoku shiro,2004,119,"Animation, Adventure, Family",8.2,80,396223,4.71,164
A Beautiful Mind,2001,135,"Biography, Drama",8.2,72,932814,170.74,142
Kill Bill: Vol. 1,2003,111,"Action, Crime, Drama",8.2,69,1115029,70.10,151
Finding Nemo,2003,100,"Animation, Adventure, Comedy",8.2,90,1043212,380.84,153
Snatch,2000,104,"Comedy, Crime",8.2,55,856496,30.33,119
The Sixth Sense,1999,107,"Drama, Mystery, Thriller",8.2,64,992139,293.51,141
"Lock, Stock and Two Smoking Barrels",1998,107,"Action, Comedy, Crime",8.2,66,583350,3.90,161
The Truman Show,1998,103,"Comedy, Drama",8.2,90,1080082,125.62,140
L.A. Confidential,1997,138,"Crime, Drama, Mystery",8.2,90,584132,64.62,117
Bacheha-Ye aseman,1997,89,"Drama, Family, Sport",8.2,77,75441,0.93,175
Casino,1995,178,"Crime, Drama",8.2,73,521276,42.44,136
Jurassic Park,1993,127,"Action, Adventure, Sci-Fi",8.2,68,987787,402.45,148
Unforgiven,1992,130,"Drama, Western",8.2,85,413330,101.16,138
Indiana Jones and the Last Crusade,1989,127,"Action, Adventure",8.2,65,755285,197.17,121
Die Hard,1988,132,"Action, Thriller",8.2,72,878035,83.01,118
Ran,1985,162,"Action, Drama, War",8.2,96,126570,4.14,135
The Thing,1982,109,"Horror, Mystery, Sci-Fi",8.2,57,426763,13.78,154
Raging Bull,1980,129,"Biography, Drama, Sport",8.2,89,355431,23.38,157
The Elephant Man,1980,124,"Biography, Drama",8.2,78,242571,,155
Taxi Driver,1976,114,"Crime, Drama",8.2,94,832479,28.26,114
Monty Python and the Holy Grail,1975,91,"Adventure, Comedy, Fantasy",8.2,91,542713,1.23,145
Dersu Uzala,1975,142,"Adventure, Biography, Drama",8.2,,30337,,245
Chinatown,1974,130,"Drama, Mystery, Thriller",8.2,92,328024,8.49,156
Per qualche dollaro in più,1965,132,Western,8.2,74,257924,15.00,125
The Great Escape,1963,172,"Adventure, Drama, History",8.2,86,245617,12.10,149
Yôjinbô,1961,110,"Action, Drama, Thriller",8.2,93,123787,,144
Some Like It Hot,1959,121,"Comedy, Music, Romance",8.2,98,268384,25.00,129
